px,py,address,lat,lng,pizza,pizza-source,burger,burger-source,mexican,mexican-source,chinese,chinese-source,thai,thai-source
1268500.0,2642075.0,"1090 Centre Street, Jamaica Plain, MA 02130, USA",42.30340430114646,-71.12377166748047,60.839506172839506,yelp-min,83.6875,yelp-min,112.57142857142857,yelp-min,103.34693877551021,yelp-min,167.77777777777777,yelp-min
1268500.0,2642100.0,"1020 Centre Street, Boston, MA 02130, USA",42.304991271490266,-71.12377166748047,49.875,yelp-min,60.2962962962963,yelp-min,81.06122448979592,yelp-min,64.65306122448979,yelp-min,103.33333333333333,yelp-min
1268500.0,2642125.0,"922-926 Centre Street, Boston, MA 02130, USA",42.30657820183146,-71.12377166748047,40.875,yelp-min,51.0,yelp-min,69.3061224489796,yelp-min,52.89795918367347,yelp-min,87.33333333333333,yelp-min
1268500.0,2642150.0,"19 Hillcroft Road, Jamaica Plain, MA 02130, USA",42.30816509216989,-71.12377166748047,37.5625,yelp-min,47.75,yelp-min,64.9795918367347,yelp-min,48.57142857142857,yelp-min,81.44444444444444,yelp-min
1268500.0,2642175.0,"1-39 Cedarwood Road, Boston, MA 02130, USA",42.309751942505315,-71.12377166748047,43.3125,yelp-min,53.5,yelp-min,72.57142857142857,yelp-min,56.16326530612245,yelp-min,91.66666666666667,yelp-min
1268500.0,2642200.0,"71 May Street, Jamaica Plain, MA 02130, USA",42.311338752837536,-71.12377166748047,43.375,yelp-min,46.51851851851852,yelp-min,72.57142857142857,yelp-min,56.244897959183675,yelp-min,91.77777777777777,yelp-min
1268500.0,2642225.0,"5 Pond Circle, Jamaica Plain, MA 02130, USA",42.312925523166314,-71.12377166748047,52.0,yelp-min,39.358024691358025,yelp-min,68.24489795918367,yelp-min,67.51020408163265,yelp-min,85.66666666666667,yelp-min
1268500.0,2642250.0,"115-295 Prince Street, Boston, MA 02130, USA",42.31451225349147,-71.12377166748047,47.8125,yelp-min,36.888888888888886,yelp-min,64.16326530612245,yelp-min,61.95918367346939,yelp-min,80.0,yelp-min
1268500.0,2642275.0,"115-295 Prince Street, Boston, MA 02130, USA",42.31609894381284,-71.12377166748047,55.6875,yelp-min,43.111111111111114,yelp-min,74.53061224489795,yelp-min,72.3265306122449,yelp-min,94.11111111111111,yelp-min
1268500.0,2642350.0,"241 Perkins Street, Jamaica Plain, MA 02130, USA",42.32085877475174,-71.12377166748047,53.125,yelp-min,60.592592592592595,yelp-min,111.0204081632653,yelp-min,89.55102040816327,yelp-min,83.3125,yelp-min
1268500.0,2642375.0,"64-98 Sargent Beechwood, Brookline, MA 02445, USA",42.32244530505564,-71.12377166748047,40.75,yelp-min,67.45679012345678,yelp-min,96.73469387755102,yelp-min,104.9795918367347,yelp-min,85.375,yelp-min
1268500.0,2642425.0,"96-116 Chestnut Street, Brookline, MA 02445, USA",42.325618245648656,-71.12377166748047,92.5,yelp-min,71.875,yelp-min,67.91836734693878,yelp-min,86.36734693877551,yelp-min,60.3125,yelp-min
1268525.0,2642150.0,"920 Centre Street, Jamaica Plain, MA 02130, USA",42.30816509216989,-71.12162590026855,28.3125,yelp-min,38.5,yelp-min,52.89795918367347,yelp-min,36.48979591836735,yelp-min,65.0,yelp-min
